localTime,remoteTime,label,ibi,bpm,signalOK
1623226895635,1013623,rest,566,87,1
1623226896658,1014896,rest,1164,82,0
1623226897649,1015645,rest,698,79,0
1623226898160,1016391,rest,696,86,1
1623226898658,1017037,rest,610,93,0
1623226899666,1017682,rest,594,97,0
1623226900181,1018207,rest,488,98,0
1623226900674,1018691,rest,464,98,0
1623226900674,1018993,rest,278,98,0
1623226901181,1019600,rest,558,98,0
1623226902195,1020186,rest,532,98,1
1623226903724,1021924,rest,1630,91,0
1623226905220,1023216,rest,1196,85,0
1623226906230,1024246,rest,972,81,1
1623226907247,1025236,rest,912,78,0
1623226908761,1026792,rest,1444,70,0
1623226910787,1029235,rest,2308,58,0
1623226913311,1031296,rest,1924,51,0
1623226914316,1032549,rest,1154,47,0
1623226915322,1033719,rest,1096,45,0
1623226918366,1036345,rest,2450,39,0
1623226919870,1038325,rest,1870,39,1
1623226921385,1039596,rest,1180,39,0
1623226922397,1040403,rest,736,39,0
1623226922898,1040886,rest,446,41,0
1623226925431,1043433,rest,2356,38,0
1623226926935,1044947,rest,1426,41,1
1623226927950,1045978,rest,962,43,0
1623226928963,1046987,rest,932,44,0
1623226930472,1048745,rest,1656,42,1
1623226931475,1049897,rest,1078,47,0
1623226933494,1051489,rest,1494,48,0
1623226934517,1052519,rest,976,49,0
1623226935008,1053266,rest,698,49,0
1623226935539,1053933,rest,630,49,0
1623226936526,1054521,rest,552,57,0
1623226937542,1055592,rest,996,60,0
1623226940080,1058074,rest,2322,52,0
1623226941578,1059591,rest,1434,50,1
1623226942584,1060601,rest,938,54,0
1623226943090,1061428,rest,778,55,0
1623226944110,1062074,rest,614,60,0
1623226944607,1062660,rest,522,63,0
1623226945116,1063164,rest,482,64,0
1623226945611,1063649,rest,452,66,0
1623226946120,1064114,rest,450,66,0
1623226946630,1064660,rest,498,70,1
1623226947142,1065166,rest,486,90,1
1623226947650,1065651,rest,448,106,1
1623226948168,1066136,rest,454,115,1
1623226948168,1066580,rest,414,124,1
1623226949147,1067164,rest,540,126,1
1623226949663,1067668,rest,480,127,1
1623226950165,1068194,rest,480,127,1
1623226950165,1068517,rest,292,132,0
1623226951179,1069162,rest,606,127,0
1623226952175,1070234,rest,992,115,0
1623226953187,1071202,rest,888,107,0
1623226953692,1071949,rest,682,103,0
1623226954205,1072575,rest,582,100,0
1623226955241,1073201,rest,572,98,0
1623226955241,1073565,rest,344,101,0
1623226955740,1074070,rest,464,101,0
1623226957229,1075241,rest,1088,92,0
1623226957734,1075969,rest,680,87,0
1623226958238,1076555,rest,530,87,0
1623226958753,1077142,rest,548,94,0
1623226959756,1077727,rest,550,99,0
1623226959756,1078090,rest,332,105,0
1623226961270,1079280,rest,1078,97,0
1623226962301,1080269,rest,914,92,0
1623226964304,1082331,rest,1922,74,0
1623226965816,1083845,rest,1398,66,0
