localTime,remoteTime,label,ibi,bpm,signalOK
1623228572427,2690887,rest,712,61,0
1623228573424,2691715,rest,772,62,0
1623228574441,2692464,rest,698,67,1
1623228575456,2693474,rest,920,66,0
1623228576459,2694484,rest,936,64,0
1623228576976,2695170,rest,640,69,0
1623228577981,2695997,rest,756,75,0
1623228578474,2696501,rest,462,80,0
1623228578985,2697389,rest,814,81,0
1623228580006,2697997,rest,562,82,1
1623228580514,2698502,rest,458,85,0
1623228580514,2698804,rest,274,92,0
1623228581002,2699068,rest,252,98,0
1623228581002,2699351,rest,252,111,0
1623228581514,2699614,rest,252,127,0
1623228582012,2700017,rest,368,134,0
1623228583021,2701045,rest,958,129,0
1623228583524,2701811,rest,690,122,0
1623228585543,2703550,rest,1596,106,0
1623228587070,2705328,rest,1660,88,0
1623228588577,2706579,rest,1148,80,0
1623228590086,2708114,rest,1428,69,1
1623228591114,2709105,rest,914,64,0
1623228592617,2710641,rest,1416,57,1
1623228593626,2711650,rest,934,54,0
1623228594133,2712337,rest,630,52,0
1623228595158,2713145,rest,738,53,0
1623228595647,2713649,rest,480,54,0
1623228595647,2713993,rest,322,62,0
1623228597161,2715166,rest,1090,65,0
1623228599685,2717710,rest,2342,58,0
1623228601201,2719406,rest,1544,57,0
1623228603222,2721609,rest,2040,52,0
1623228604738,2722962,rest,1262,52,0
1623228607259,2725264,rest,2104,47,0
1623228608269,2726618,rest,1262,45,0
1623228609290,2727486,rest,792,45,0
1623228609806,2728010,rest,476,45,0
1623228610290,2728313,rest,286,45,0
1623228610290,2728677,rest,362,48,0
1623228611303,2729323,rest,594,55,0
1623228612307,2730717,rest,1278,57,0
1623228613833,2732032,rest,1218,62,0
1623228614842,2732820,rest,730,65,0
1623228616868,2735060,rest,2076,66,0
1623228618880,2737304,rest,2088,60,0
1623228620930,2738880,rest,1458,56,0
1623228621924,2739970,rest,1018,54,0
1623228623933,2741970,rest,1848,47,0
1623228625948,2744254,rest,2118,41,0
1623228627471,2745828,rest,1476,39,0
1623228629482,2747503,rest,1536,38,0
1623228631516,2749847,rest,2168,36,0
1623228633013,2751341,rest,1364,34,0
1623228634522,2752733,rest,1292,36,0
1623228639088,2757074,rest,652,92,0
1623228641599,2759641,rest,2368,72,0
1623228643122,2761175,rest,1420,66,0
1623228644129,2762145,rest,900,64,0
1623228645133,2763435,rest,1204,61,0
1623228647656,2765679,rest,2100,53,0
1623228649169,2767173,rest,1378,50,1
1623228650188,2768222,rest,980,48,0
1623228651188,2769394,rest,1072,47,0
1623228652199,2770204,rest,776,46,0
1623228654245,2772667,rest,2296,41,0
1623228655731,2774140,rest,1378,44,1
1623228657256,2775291,rest,1064,45,0
1623228658759,2776826,rest,1418,43,1
1623228659772,2777956,rest,1044,44,0
1623228660799,2778785,rest,758,49,0
1623228661317,2779289,rest,470,53,0
1623228661792,2780017,rest,674,54,0
1623228662299,2780684,rest,608,57,0
1623228663307,2781312,rest,582,58,0
1623228663811,2781837,rest,494,70,1
1623228664836,2782869,rest,940,74,0
1623228665836,2784119,rest,1146,73,0
1623228666841,2784867,rest,688,81,0
1623228666841,2785311,rest,412,88,0
1623228668892,2786889,rest,1460,80,0
1623228669874,2787918,rest,938,75,1
1623228670879,2788886,rest,910,73,1
1623228671391,2789633,rest,680,72,0
1623228672403,2790420,rest,720,71,0
1623228672897,2790965,rest,508,71,0
1623228673907,2791915,rest,890,71,0
1623228674414,2792622,rest,656,76,0
1623228674926,2793390,rest,700,76,1
1623228675965,2793977,rest,550,74,0
1623228676938,2794945,rest,882,80,0
1623228678453,2796480,rest,1442,75,0
1623228679470,2797491,rest,934,75,1
1623228680987,2799430,rest,1792,66,0
1623228682510,2800944,rest,1394,61,1
1623228684012,2802034,speech,1020,58,0
1623228685016,2803266,speech,1122,57,0
